SCQ_1,SCQ_2,SCQ_3,SCQ_4,SCQ_5,SCQ_6,SCQ_7,SCQ_8,SCQ_9,SCQ_10,SCQ_11,SCQ_12,SCQ_13,SCQ_14,SCQ_15,SCQ_16,SCQ_17,SCQ_18,SCQ_19,SCQ_20,SCQ_21,SCQ_22,SCQ_23,SCQ_24,SCQ_25,SCQ_26,SCQ_27,SCQ_28,SCQ_29,SCQ_30,SCQ_31,SCQ_32,SCQ_33,SCQ_34,SCQ_35,SCQ_36,SCQ_37,SCQ_38,SCQ_39,SCQ_40,SCQ_41,SCQ_42,SCQ_43,SCQ_44,SCQ_45,SCQ_46,SCQ_47,SCQ_48,SCQ_49,age,sex
5,1,4,3,4,5,3,5,4,4,4,4,4,4,4,4,4,4,1,5,5,3,4,4,5,4,4,4,4,4,3,4,4,3,3,3,2,3,2,2,3,1,3,3,4,1,5,3,4,38,1
5,4,4,2,2,3,3,5,3,3,3,4,4,4,4,4,2,4,3,3,5,4,3,2,3,2,3,2,4,3,4,5,4,3,4,3,3,3,4,2,3,2,2,3,2,4,4,4,3,31,1
4,1,4,4,4,4,4,5,5,4,5,5,5,5,5,3,5,4,2,2,4,1,5,4,3,3,4,5,4,5,4,3,4,3,4,4,2,4,4,4,4,1,5,4,5,4,3,4,4,33,1
5,2,3,5,4,4,4,4,3,4,4,4,4,4,4,3,4,4,2,3,5,2,4,3,5,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,2,5,4,2,4,2,3,3,5,59,1
3,2,4,3,3,3,4,4,99,3,3,4,4,4,3,4,3,4,3,4,4,4,3,3,99,3,3,4,4,4,2,3,3,2,3,2,3,4,3,3,4,2,4,2,4,2,4,3,2,28,1
4,1,4,4,5,4,3,4,3,5,5,5,4,4,4,4,5,4,2,4,5,2,4,4,5,2,4,5,4,5,4,4,2,3,2,1,3,4,3,4,3,1,3,1,4,1,1,3,4,38,1
3,2,4,4,4,4,4,4,4,4,4,5,4,4,4,4,4,4,3,4,4,2,4,4,4,4,4,4,4,4,4,4,4,4,3,3,4,5,3,4,3,1,4,3,4,2,3,3,3,54,1
4,2,4,4,4,4,3,4,3,4,4,4,4,4,4,5,5,4,2,4,5,2,4,4,4,4,4,4,4,5,4,4,4,4,4,3,4,5,4,4,3,1,4,3,4,2,3,4,4,56,1
4,2,3,4,4,5,3,4,4,3,5,4,4,4,4,4,4,5,2,4,3,1,5,2,5,2,4,3,5,4,2,5,5,2,3,2,3,5,4,5,2,1,3,1,4,1,2,1,3,46,1
2,5,3,3,2,2,2,1,2,3,3,2,2,2,99,2,2,2,3,4,3,1,2,99,99,3,2,99,99,2,99,2,1,2,5,3,99,2,2,3,2,2,2,5,1,2,5,5,2,30,2
2,2,2,5,4,4,3,5,5,4,5,5,5,4,4,4,4,4,3,4,3,3,5,5,4,3,5,5,4,5,2,3,4,4,3,3,2,4,3,3,3,2,4,3,4,3,2,5,5,42,1
3,2,4,4,4,4,3,5,3,3,4,5,4,4,5,3,4,4,2,4,4,3,4,5,4,3,5,4,4,5,5,3,2,4,4,3,3,5,2,5,3,1,5,1,5,2,3,3,4,43,1
2,1,5,5,5,5,99,99,5,4,5,5,5,99,5,5,5,4,3,3,5,2,5,2,5,5,5,5,3,5,2,99,1,1,5,2,3,5,1,2,2,1,3,1,2,1,3,4,3,41,2
5,2,5,5,4,5,4,5,3,4,4,5,4,5,4,4,5,4,3,5,4,1,5,5,5,5,4,5,4,5,3,5,3,4,4,3,4,4,5,4,3,1,4,3,5,2,2,4,4,41,2
4,2,4,4,4,3,4,3,5,4,5,4,4,4,4,3,4,4,3,3,4,3,4,4,5,3,4,5,4,4,4,4,2,3,3,2,4,3,3,4,5,3,4,2,4,2,1,2,3,42,1
5,1,4,5,5,4,3,5,4,4,4,4,4,3,4,4,5,4,1,4,4,1,4,3,2,3,4,5,4,4,3,4,5,3,4,2,2,4,4,5,2,1,5,3,5,4,1,3,3,52,2
4,2,5,5,3,4,3,4,4,2,4,4,4,99,5,4,4,4,2,5,4,2,4,4,3,4,3,4,5,4,3,3,4,99,5,3,2,4,3,2,4,3,4,1,5,1,5,99,4,39,1
2,1,3,4,4,4,3,3,4,4,4,4,4,3,3,4,4,4,99,3,4,1,4,3,4,4,4,4,3,4,4,3,1,2,3,2,4,4,2,3,3,1,4,2,3,1,1,2,4,52,1
4,3,4,4,4,5,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,3,4,4,4,4,4,5,4,5,5,4,4,4,3,3,4,5,4,4,3,2,4,3,4,2,3,4,3,35,1
2,2,3,5,5,99,5,5,99,2,4,99,5,2,5,99,2,99,1,4,99,3,5,3,3,4,5,5,4,3,2,4,4,3,5,4,5,3,2,5,3,1,4,2,5,4,3,2,1,19,1
2,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,4,4,2,5,5,5,4,4,4,2,4,4,3,4,4,4,2,2,4,4,4,2,2,4,2,4,2,4,4,4,39,1
5,1,5,5,5,5,4,5,5,5,5,4,5,5,5,5,4,5,1,3,5,1,4,2,4,3,5,5,5,5,3,4,5,4,5,2,2,5,4,5,2,4,4,3,5,2,3,3,5,51,1
3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,2,3,4,2,3,3,3,3,3,4,3,4,3,3,5,3,3,3,3,4,2,4,4,1,3,2,4,2,3,3,3,41,1
3,2,4,4,3,4,3,4,3,4,4,4,3,4,4,3,4,4,2,2,4,3,4,4,4,2,3,4,3,4,3,4,2,2,2,2,4,4,4,4,2,2,4,3,4,2,2,4,2,46,2
4,4,5,5,4,4,4,4,4,4,2,4,4,5,2,2,2,2,4,5,2,1,4,1,2,2,4,2,5,4,4,5,4,4,4,1,4,5,5,3,4,1,5,1,5,1,1,2,1,49,1
4,1,5,99,99,4,4,4,4,3,4,4,5,4,5,5,4,5,2,5,5,3,5,5,5,4,3,5,5,4,4,4,4,4,99,4,4,99,4,5,4,2,99,3,5,2,4,3,4,33,2
4,1,5,5,4,4,4,5,4,4,4,4,4,4,5,4,4,4,1,5,5,2,4,5,4,4,4,4,5,4,3,4,3,4,4,4,2,5,4,4,3,1,4,2,4,2,4,3,4,44,1
2,2,3,4,3,5,4,3,3,3,3,3,5,4,4,2,3,4,3,4,2,3,4,3,3,2,3,4,2,3,3,3,4,2,3,2,3,4,2,4,4,4,4,3,5,2,3,3,4,44,2
3,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,1,5,3,4,4,3,4,4,4,3,4,5,4,4,2,2,5,2,5,2,4,4,3,5,1,5,4,3,27,1
4,2,4,4,4,5,4,4,4,4,4,4,2,5,4,3,5,4,2,4,5,3,5,5,4,3,4,5,4,5,4,4,2,1,4,1,2,5,2,4,2,1,4,1,5,1,2,3,4,41,1
3,2,4,4,4,4,4,4,4,5,4,4,4,4,4,3,4,4,2,3,4,3,4,4,4,3,3,4,5,4,3,4,3,3,4,3,2,4,5,5,4,4,4,3,4,2,2,4,4,41,2
3,1,4,4,3,4,4,5,5,4,5,5,5,4,5,5,4,3,2,3,4,2,5,3,4,2,4,5,5,4,4,4,4,3,4,2,2,99,3,3,2,1,4,1,4,1,3,3,2,61,1
3,2,4,5,4,5,4,5,4,5,4,5,4,4,3,5,4,4,3,4,5,3,4,4,5,99,3,5,4,5,3,2,4,3,5,3,2,5,4,4,2,4,4,2,5,2,3,4,2,29,2
4,1,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,1,5,5,1,5,5,4,4,5,5,5,5,5,5,2,3,4,3,2,5,4,5,3,2,4,2,5,2,3,4,3,53,2
4,2,4,4,4,4,3,4,3,3,4,2,4,4,4,2,2,4,2,3,4,2,4,4,2,2,4,3,4,4,2,4,2,1,4,2,2,4,2,4,3,1,3,1,4,1,2,2,2,44,2
4,2,4,5,2,4,5,4,4,4,4,5,4,2,4,2,4,4,2,4,4,1,4,4,4,2,4,5,4,4,4,2,4,5,4,2,1,5,2,4,2,2,5,2,4,2,2,2,2,49,2
4,2,4,4,4,4,2,3,3,2,2,4,2,2,4,3,3,4,2,4,4,3,4,4,3,4,4,2,4,2,2,4,4,4,4,2,4,4,3,3,3,2,2,2,4,2,2,4,4,37,1
4,2,4,5,4,2,3,3,2,3,3,4,4,3,4,2,4,4,3,5,3,2,4,5,4,4,2,4,4,5,2,4,3,2,2,2,3,4,2,4,4,1,4,1,4,1,4,2,2,46,1
3,2,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,4,2,4,3,3,4,2,3,1,5,4,3,4,5,1,3,1,4,1,3,1,1,42,1
99,2,4,4,99,4,99,99,4,4,4,99,4,5,5,4,4,4,99,4,5,1,5,4,4,99,4,5,4,5,4,4,5,4,5,2,2,5,5,5,4,1,5,2,5,2,1,3,5,33,1
4,1,5,5,4,5,4,4,5,5,5,5,5,5,5,5,4,5,1,5,5,2,4,4,5,4,5,5,5,5,3,5,3,4,4,2,3,5,4,4,2,1,4,1,5,1,4,4,2,50,1
4,2,4,4,4,4,4,3,3,4,4,4,4,4,4,4,3,4,2,3,4,3,4,3,4,3,3,4,3,4,3,4,1,4,4,2,2,4,4,4,2,1,4,1,4,1,2,3,4,26,2
4,3,4,2,2,4,1,4,2,5,3,4,3,4,5,4,5,3,2,3,3,5,3,4,4,5,2,5,3,2,3,2,2,5,3,5,3,3,2,2,3,3,2,2,4,3,5,4,4,36,1
3,1,5,4,4,5,4,4,4,4,4,4,4,4,4,5,4,4,2,3,4,2,4,3,4,4,4,4,4,4,4,4,4,3,3,2,2,4,3,4,3,2,5,3,4,2,4,3,4,28,1
3,3,3,3,3,3,4,3,3,4,3,4,4,4,3,3,4,3,3,4,3,3,3,3,3,3,3,4,4,4,3,3,5,4,4,3,4,5,4,3,3,1,3,3,4,4,1,3,3,52,2
3,1,5,2,5,4,2,2,4,2,2,4,4,4,5,3,3,5,2,4,5,2,5,4,5,4,5,4,5,4,4,3,2,3,2,4,3,5,2,5,2,1,5,1,5,1,2,2,4,30,1
5,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,5,5,2,5,5,5,5,5,5,5,5,4,5,5,4,5,5,2,5,5,5,3,1,5,4,5,3,5,3,4,44,2
2,2,4,4,3,3,3,4,4,4,4,4,3,4,4,3,3,3,3,3,4,3,4,4,3,3,3,5,4,5,3,3,5,4,2,2,5,1,2,1,2,1,3,1,3,1,2,1,1,27,1
2,2,3,4,4,4,2,4,4,4,4,4,3,4,4,3,4,4,3,3,4,2,5,3,4,2,3,4,3,5,3,3,2,3,4,3,4,4,2,4,4,1,3,1,4,1,3,3,2,43,2
4,2,4,3,4,4,3,4,3,4,4,4,3,4,4,4,4,4,2,4,3,2,4,3,4,3,4,4,3,4,3,3,2,3,4,3,2,4,3,3,2,2,4,3,4,2,4,4,3,32,2
4,1,4,5,5,4,4,5,4,4,5,4,4,5,4,3,5,5,1,3,5,2,5,5,4,3,5,4,4,5,3,4,3,4,5,3,2,5,4,5,2,3,4,3,5,4,4,3,5,38,2
5,2,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,4,2,3,5,1,5,5,5,5,4,5,5,5,4,3,3,5,4,3,2,5,4,5,2,1,5,3,5,1,4,3,2,43,1
4,2,4,4,5,4,3,3,3,3,3,3,3,4,4,3,4,3,2,2,4,2,4,4,4,3,3,4,4,4,3,4,4,3,4,3,2,4,2,3,2,2,4,2,4,2,3,3,4,47,1
99,1,99,4,99,99,5,99,4,5,4,5,5,5,5,5,4,5,2,4,99,2,5,5,5,5,99,99,99,5,5,5,99,4,99,99,2,99,4,3,2,2,4,4,5,5,4,3,5,62,1
4,1,4,4,4,5,4,4,3,3,4,3,5,4,5,1,3,4,2,4,4,1,4,4,3,3,4,3,4,3,2,5,2,4,3,4,3,5,3,4,4,1,5,1,5,1,2,3,5,38,1
3,2,4,4,4,3,4,3,3,3,4,4,3,3,4,4,4,3,99,3,4,2,4,3,3,3,3,3,4,4,3,4,4,3,4,3,3,5,3,3,3,1,3,3,3,3,3,3,2,38,1
4,2,3,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,2,4,4,2,4,4,4,2,4,4,4,4,3,4,2,3,4,2,3,4,2,3,2,2,3,2,4,2,2,3,2,40,2
4,2,5,4,5,4,4,3,4,4,4,4,3,5,4,5,5,4,2,5,4,3,4,3,5,3,3,4,4,5,3,4,3,3,3,2,4,3,4,4,3,3,4,2,4,2,2,3,4,45,1
2,4,3,4,3,3,4,2,2,2,5,4,3,4,4,2,5,3,4,2,4,3,5,3,2,4,5,3,2,4,2,4,3,4,5,1,2,3,5,3,4,3,4,2,3,4,3,2,5,32,1
3,2,4,5,5,4,3,4,4,4,3,3,4,4,4,2,3,4,2,4,5,2,5,5,4,2,4,4,4,4,2,3,5,5,5,3,2,2,2,3,2,2,4,3,5,2,3,3,4,36,1
2,2,2,3,3,5,3,4,4,4,4,4,5,4,4,3,4,4,2,3,4,2,4,4,3,4,4,5,4,5,3,3,5,3,4,2,3,4,4,5,3,2,4,3,4,2,2,3,4,53,2
5,1,4,5,4,5,4,5,5,4,5,5,4,4,4,4,4,5,3,3,5,1,5,5,5,4,3,5,5,4,3,3,5,4,5,5,2,5,5,4,2,1,4,2,5,2,1,3,5,34,2
4,1,4,5,5,5,4,5,5,5,5,5,5,4,5,3,5,4,1,5,5,1,5,5,5,3,4,5,5,5,4,5,2,4,4,3,2,4,5,4,3,1,4,1,4,2,3,3,4,45,1
3,2,4,4,4,3,4,3,3,3,3,3,3,3,3,4,3,4,3,3,4,3,3,4,3,4,4,3,4,3,3,4,4,3,4,4,3,4,4,4,3,3,3,3,4,2,4,3,4,37,1
4,2,5,4,4,4,3,5,3,4,5,5,4,4,4,5,5,3,2,4,4,1,4,4,3,4,4,4,4,4,3,4,5,3,4,3,2,4,4,5,4,1,3,2,5,1,2,2,3,44,1
4,1,4,4,5,2,4,5,5,3,4,5,3,4,4,5,4,4,2,4,4,2,4,4,3,3,4,4,4,5,3,4,3,3,4,4,3,99,2,4,3,2,4,3,5,2,3,3,4,37,1
99,1,5,4,99,4,4,5,4,5,5,4,4,4,4,4,5,4,1,4,5,1,5,4,4,4,4,5,4,5,4,4,4,5,3,4,2,5,4,3,2,1,4,3,5,2,2,3,3,60,1
3,1,4,3,4,2,4,3,3,1,2,2,2,4,4,4,1,4,1,5,4,3,4,4,4,2,4,2,4,4,3,4,4,4,3,3,2,4,4,4,2,4,4,3,4,1,1,5,4,48,1
5,1,5,4,5,4,3,5,4,4,5,5,3,5,5,4,5,4,99,3,4,1,4,3,5,3,4,5,5,5,2,5,4,4,4,2,1,4,5,5,2,1,3,2,3,1,2,2,5,35,2
3,2,3,4,3,4,5,4,4,4,5,4,4,5,4,4,3,4,3,3,4,3,5,4,4,3,4,5,3,4,3,4,4,3,3,3,3,4,3,4,3,1,4,2,5,2,3,3,4,45,2
4,1,3,3,2,1,3,3,99,3,3,2,3,3,3,2,3,4,1,4,5,1,4,4,2,3,5,3,2,4,2,5,4,3,3,1,2,4,3,1,3,1,2,1,2,1,1,1,5,65,1
3,2,4,5,5,3,4,4,3,3,3,3,3,4,4,3,4,4,2,3,5,2,4,4,4,3,3,4,4,4,3,4,3,3,4,2,3,4,3,3,2,2,3,1,4,1,4,3,4,53,1
3,1,4,4,4,4,4,4,4,3,4,5,4,3,4,5,5,4,4,5,4,2,5,4,3,4,4,4,3,3,5,4,5,3,3,2,4,4,1,5,2,1,5,1,5,1,3,5,4,35,1
4,2,5,4,4,4,4,5,4,4,4,4,4,5,4,4,5,4,2,4,5,2,5,4,3,4,4,4,4,4,4,4,4,4,5,4,2,5,5,4,2,4,4,2,4,3,3,5,3,54,2
4,1,5,4,5,5,4,4,4,4,5,3,4,4,4,4,3,5,2,3,5,3,4,3,3,2,4,5,4,4,3,3,2,3,2,3,3,3,2,5,5,1,4,2,5,1,1,2,1,21,1
2,2,4,3,5,4,99,3,4,3,3,4,3,4,4,4,4,4,2,3,5,3,4,4,4,4,4,4,5,5,4,5,3,4,4,4,2,4,4,3,3,1,4,1,4,1,4,2,1,52,1
2,3,4,2,4,4,4,3,3,2,4,5,4,4,4,3,3,4,99,2,3,3,4,4,4,2,3,3,4,4,2,4,1,4,4,2,4,3,3,2,3,1,3,1,4,1,3,3,1,61,1
4,1,5,5,5,4,4,5,4,4,5,4,5,4,5,5,5,4,1,4,5,1,5,3,5,3,5,5,4,5,5,4,4,3,5,3,2,4,3,5,2,1,4,2,5,2,3,3,3,50,1
4,4,5,4,5,4,4,5,5,4,4,4,4,4,4,4,4,4,2,4,5,2,5,4,4,4,4,5,5,4,3,4,5,3,4,5,2,4,4,5,2,2,5,4,4,2,4,4,4,34,2
4,1,4,4,5,5,3,5,5,5,5,5,5,5,5,4,5,5,1,4,5,1,5,4,5,4,5,5,4,5,5,5,4,3,5,4,2,5,5,4,3,1,5,4,5,2,4,3,4,45,1
4,1,4,4,4,4,5,4,4,5,5,4,4,3,5,1,1,4,1,5,5,2,5,3,1,3,5,4,4,2,1,4,4,4,4,2,2,4,3,5,4,1,4,3,5,1,3,5,4,38,1
3,2,4,4,1,4,3,4,4,3,4,5,4,3,3,3,4,4,3,3,3,3,4,4,1,1,4,5,1,4,4,4,5,4,4,4,3,4,2,5,3,1,4,1,5,1,2,3,5,47,1
4,1,5,4,3,4,3,3,4,4,4,3,5,4,4,3,4,4,2,4,5,2,4,3,4,3,5,4,2,4,2,3,4,3,4,3,2,5,3,3,4,2,4,4,4,3,5,4,4,40,1
4,2,5,4,5,5,4,4,5,3,4,5,4,5,5,4,5,4,3,3,5,3,5,4,4,3,5,5,3,5,3,4,2,3,4,4,3,5,3,4,4,2,3,2,4,2,3,3,3,46,1
4,1,5,5,5,4,5,4,5,5,5,4,4,4,5,4,5,5,2,4,4,2,5,4,4,3,4,5,5,5,4,4,2,2,2,4,2,2,4,5,4,2,4,1,5,1,4,2,2,37,2
2,3,3,3,3,3,3,99,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,5,4,3,4,3,3,3,3,4,3,3,3,3,4,2,1,3,3,5,2,3,2,5,52,1
2,1,5,4,4,4,4,4,3,4,4,4,4,5,4,4,5,4,4,4,4,1,4,4,4,5,4,4,4,5,3,4,3,4,3,2,4,4,4,4,3,2,4,2,4,1,3,3,2,36,1
4,2,4,4,5,5,4,3,4,3,3,4,4,4,5,3,4,4,2,3,5,2,4,4,5,3,3,5,4,5,2,3,1,3,5,2,3,5,3,4,4,2,5,2,5,2,1,2,2,35,2
4,1,5,4,4,5,4,5,5,5,5,5,4,5,5,4,4,4,2,4,5,1,5,5,5,4,4,5,4,5,4,4,5,4,5,3,1,5,5,5,2,4,5,2,5,3,3,5,5,46,2
5,1,5,5,5,5,3,5,5,5,5,5,5,5,5,5,5,5,1,5,5,1,5,5,4,5,5,5,5,5,3,4,5,5,3,3,2,5,3,5,2,1,5,3,5,4,3,3,5,65,1
5,1,4,5,5,5,5,4,5,3,5,4,5,5,5,5,4,5,2,3,5,1,5,4,5,3,4,5,3,5,3,5,5,5,4,3,2,5,4,3,4,1,5,4,5,4,3,4,5,37,2
4,1,4,4,3,4,3,3,4,3,3,4,3,3,4,2,4,4,1,4,4,2,4,4,4,3,4,4,4,4,4,4,4,4,4,2,4,4,2,4,4,1,4,3,4,1,4,4,2,31,2
4,1,4,4,4,5,4,5,4,4,5,5,4,5,4,2,5,4,1,4,5,1,5,4,4,4,4,5,4,5,5,4,4,4,4,4,2,5,4,5,1,1,5,4,5,1,2,4,4,41,2
3,1,4,5,4,4,3,5,3,4,4,5,4,4,3,3,4,4,1,4,5,2,5,5,5,2,4,4,3,5,4,4,5,1,5,3,3,5,4,5,1,1,5,1,5,1,5,2,5,33,2
5,1,5,5,4,4,3,5,4,5,5,4,5,3,4,3,5,4,1,3,5,1,5,3,4,4,4,5,4,5,3,4,5,2,4,2,2,5,4,5,4,1,3,3,3,1,4,3,1,36,2
3,1,4,4,4,5,3,3,4,4,4,3,2,4,3,5,2,4,3,5,5,2,3,3,3,4,3,4,5,4,3,3,2,3,4,2,4,4,3,2,2,1,3,1,4,1,1,3,4,33,1
4,3,4,4,4,5,4,4,5,4,4,4,5,5,4,4,4,4,3,3,4,3,5,4,5,4,4,5,5,4,4,4,2,3,4,3,3,5,3,4,4,2,5,3,4,4,3,3,4,39,1
3,1,5,5,5,5,3,5,5,3,99,5,3,3,5,3,3,3,1,5,4,2,5,5,5,5,4,5,5,5,3,5,3,4,5,2,1,5,4,5,1,1,4,5,5,2,5,3,4,57,2
3,1,5,5,5,5,4,5,4,5,5,5,4,5,5,4,5,5,3,3,5,2,5,4,5,4,5,4,5,5,4,4,2,3,5,4,1,5,4,5,3,1,4,4,5,2,2,4,4,36,2
2,2,5,5,2,4,5,5,5,4,5,5,5,5,5,5,4,5,3,4,5,4,5,5,5,5,5,5,5,5,3,4,2,2,3,4,2,2,1,5,5,5,5,1,5,1,5,5,5,30,1
2,4,2,2,2,1,4,4,4,2,2,2,2,2,5,1,1,4,1,4,4,2,4,5,1,1,2,4,2,4,1,2,4,3,3,2,2,5,1,4,1,1,4,2,5,1,1,4,99,52,1
4,2,4,5,2,5,2,4,4,5,4,2,4,4,4,4,5,4,2,2,4,2,4,4,2,4,4,5,4,4,2,4,5,3,4,4,4,3,4,4,2,2,4,2,5,4,2,4,4,25,2
4,2,4,2,99,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,2,4,3,4,3,3,4,4,4,4,4,3,4,3,3,2,4,4,3,4,3,1,4,2,4,2,4,2,4,55,1
