"SCQ_1","SCQ_2i","SCQ_3","SCQ_4","SCQ_5","SCQ_6","SCQ_7","SCQ_8","SCQ_9","SCQ_10","SCQ_11","SCQ_12","SCQ_13","SCQ_14","SCQ_15","SCQ_16","SCQ_17","SCQ_18","SCQ_19i","SCQ_20","SCQ_21","SCQ_22i","SCQ_23","SCQ_24","SCQ_25","SCQ_26","SCQ_27","SCQ_28","SCQ_29","SCQ_30","SCQ_31","SCQ_32","SCQ_33","SCQ_34","SCQ_35","SCQ_36","SCQ_37i","SCQ_38","SCQ_39","SCQ_40","SCQ_41i","SCQ_42","SCQ_43","SCQ_44","SCQ_45","SCQ_46","SCQ_47","SCQ_48","SCQ_49","GHA1","GHA2","GHA3","PEB_M1_1","PEB_M1_2","PEB_M1_3","PEB_M1_4","PEB_M1_5","PEB_M1_6","PEB_M1_7","PEB_M1_8","PEB_M1_9","PEB_M2_1","PEB_M2_2","PEB_M2_3","PEB_M2_4","PEB_M2_5","PEB_M2_6","PEB_M3_1","PEB_M3_2","PEB_M3_3","PEB_M4_1","PEB_M4_2","SOD_1","SOD_2","SOD_3","SOD_4","SOD_5","SOD_6","SOD_7","SOD_8","SOD_9","SOD_10","SOD_11","SOD_12","SOD_13","SOD_14","SOD_15","SOD_16","IRI_1","IRI_2","IRI_3","IRI_4","IRI_5","IRI_6","IRI_7","TIPI_1","TIPI_2","TIPI_3","TIPI_4","TIPI_5","TIPI_6","TIPI_7","TIPI_8","TIPI_9","TIPI_10","GCS_1","GCS_2","GCS_3","GCS_4","GCS_5","Impact_knowledge_1","Impact_knowledge_2","Impact_knowledge_3","Impact_knowledge_4","Impact_knowledge_5","Impact_knowledge_6","Impact_knowledge_7","Impact_knowledge_8","Impact_knowledge_9","Impact_knowledge_10","Impact_knowledge_11","Impact_knowledge_12","Impact_knowledge_13"
3,4,4,5,4,5,4,5,4,4,4,4,4,4,4,4,4,3,4,5,5,4,4,4,4,3,5,5,4,4,4,5,3,3,3,2,3,4,2,4,2,2,4,3,4,2,2,4,4,2,2,1,1,1,3,1,1,5,1,1,5,4,4,1,2,5,3,7,6,5,1,1,4,5,4,3,5,3,4,2,4,5,5,4,5,4,3,5,2,4,4,3,2,2,2,3,3,2,6,3,5,4,6,3,6,4,1,2,2,3,"3","3","3","3","3","3","3","3","3","3","3","3","1"
5,5,3,5,1,3,4,4,3,4,5,4,5,4,5,4,4,4,4,3,2,4,4,4,3,2,5,5,4,4,4,4,3,3,3,1,4,5,1,3,3,1,4,1,4,1,4,3,4,4,4,3,3,1,1,4,1,3,1,4,1,-0.288419944917375,6.026837888476,3.28486540698651,5.43526521831439,4.73179691190936,2.02886194440276,7,3.68613393103969,7,1,1,5,5,5,3,5,4,3,4,6,4,6,5,6,5,4,6,3,3,3,4,4,2,2,2,6,5,6,4,6,5,4,2,5,3,1,4,1,2,"3","3",NA,"3","1","2",NA,"3",NA,"2","1",NA,"1"
4,5,4,5,5,4,5,4,4,3,4,5,3,3,5,3,3,4,4,2,5,3,3,4,3,4,4,5,5,2,4,2,4,3,4,2,2,2,4,4,2,4,4,4,4,3,3,3,4,2,2,1,2,1,2,1,1,4,1,4,5,3,1,1,5,6,6,7,1,6,7,7,1,1,6,2,2,2,3,1,4,3,5,5,6,4,3,7,3,4,4,4,1,2,1,6,1,2,5,3,6,4,2,6,6,3,2,3,2,3,"3",NA,"3","3","2","3","3","3","2","3","3","3","1"
4,5,4,4,4,4,4,5,5,5,4,5,4,5,4,3,5,4,4,3,5,4,5,3,4,3,4,5,4,5,3,3,2,3,4,3,4,4,3,5,2,3,5,1,5,2,2,3,2,3,3,2,1,2,2,2,4,5,2,5,2,2.06581403738915,6,1,3,5.65647504312953,3,6,-2.72405538622105,6,1,1,4,1,5,2,3,5,4,4,3,2,5,3,5,6,3,5,3,3,4,4,2,2,2,3,5,5,6,6,6,6,6,2,3,3,2,3,2,2,"3","3","3","3","3","3","3","3","1","3","3","3","1"
4,4,4,4,4,5,3,4,4,4,4,4,5,5,5,3,4,5,5,4,4,5,5,5,3,3,4,5,5,4,3,4,4,4,5,4,4,5,4,4,4,1,3,4,5,3,2,3,4,2,2,2,5,1,5,2,5,5,4,7,5,8.8996377877294,5.38248654039911,4.14998927105862,3.26251462104909,5.77896768418358,7.15007126057869,7,10.0377099395912,5,1,1,2,2,3,4,5,4,4,4,5,5,5,5,4,5,3,5,4,4,4,3,2,2,2,3,2,5,7,3,5,5,2,3,6,3,2,3,2,3,"3","3","3","3","3","3","3","3","3","3","3","3","1"
4,4,4,2,4,3,3,4,3,3,3,4,3,3,4,3,3,4,4,5,4,3,5,4,4,4,4,4,4,3,3,4,5,2,4,2,3,5,5,5,2,1,4,4,4,2,2,3,2,2,2,1,1,1,5,5,6,2,1,1,1,4.84990773985887,7.73661463421932,-0.103545176380221,-0.866365969227197,7.02038381334539,4.50771676429063,4.20356043249108,5.51506261348374,2,1,1,3,2,3,2,3,3,3,4,4,4,5,5,4,4,4,6,3,3,4,2,2,2,1,2,3,2,5,2,3,3,7,3,7,2,3,3,1,2,"3","3","3","3","3","3","3","3","3","2","3","3","1"
4,5,5,4,4,5,5,4,5,4,5,5,4,4,5,4,5,4,5,4,5,5,5,4,4,4,4,5,5,5,2,5,3,4,5,3,5,5,5,5,2,2,5,5,5,4,4,4,5,1,1,1,1,1,3,1,3,6,7,1,1,1,1,5,1,3,1,7,1,7,1,1,1,1,3,4,5,1,1,2,6,6,7,5,6,5,4,7,5,3,5,5,2,1,2,6,2,6,6,2,6,7,5,5,6,3,2,3,2,3,"3","3","3","3","3","3","3","3","1","3","3","3","3"
4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,2,4,4,4,4,3,4,4,3,4,3,3,4,4,3,3,1,4,2,4,2,3,3,4,3,3,3,1,1,3,3,5,4,1,1,4,4,4,1,4,6,5,6,5,1,1,1,4,3,4,3,5,4,4,4,5,5,5,5,5,5,4,5,3,3,4,2,3,3,3,1,4,3,5,3,4,4,5,5,6,4,1,3,1,1,"3","3","3","3","3","3","3","3","1","3","3","3","1"
5,5,5,5,5,5,4,4,4,5,4,5,4,5,5,5,4,5,5,4,5,5,5,5,5,3,4,5,5,5,4,4,4,3,3,3,4,4,3,3,2,2,4,3,4,2,3,3,5,2,1,2,4,3,3,4,3,4,4,4,5,-0.0506388316246517,4.13253082684203,3.09867565282285,2.50499212616315,4.6152917185094,2.19028521475412,6,-0.554643494195899,4,1,1,2,2,4,2,6,2,3,2,5,5,6,6,6,6,6,6,4,4,4,3,2,2,2,2,2,3,5,4,5,4,4,4,5,3,2,3,2,2,"3","3","3","3","3","3","3","3","1","3","3","3","1"
5,4,4,4,4,5,3,5,4,4,5,5,4,5,4,5,4,4,4,4,3,4,5,3,4,4,4,5,5,4,2,3,5,3,5,4,2,4,4,4,2,1,5,1,5,1,2,3,5,2,2,2,1,1,1,4,4,5,1,1,1,0.714606685602146,6.55555106135593,-3.50537717958005,2.06683791646596,5.42132445460974,4.39102003644373,7,4.83334538277878,2,1,1,3,2,6,5,3,3,3,3,3,4,6,5,5,4,2,6,2,2,3,1,4,4,4,1,5,2,6,5,3,1,6,3,6,4,1,4,1,1,"3","3","3","3","3","3","3","3","1","2","3","3","1"
4,2.08877761811117,5,5,3,5,5,4,3,4,5,4,4,4,4,4,5,4,2,5,4,4,4,4,4,4,3.22312202319141,3,5,5,4,4,5,5,4,3,3,4,2,3,3,2,4,2,4,2,5,4,2,2,2,3,2,2,2,2,5,5,3,2,4,0.667714653524335,5,3.64860322855514,7,1.23332297342678,6,7,2,2,1,1,4,1,4,1,4,4,4,4,6,5,6,5,5,6,5,5,3,4,4,3,2,3,5,1,1,1,5,6,4,4,7,1,6,3,2,3,2,2,"3","2","3","3","3","3","3","3","3","2","2","3","3"
5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,3.50313724861388,5,4,5,5,5,4,5,5,5,5,5,5,2,4,5,4,4,5,4,3.986250379612,4,2,5,2,5,2,4,4,5,2,2,1,2,2,3,3,2,6,2,2,3,4,2,2,2,7,2,6,7,7,1,1,6,3,3,6,5,3,3,5,5,6,5,6,6,5,5,5,4,4,4,4,1,1,1,4,2,5,6,5,5,6,3,4,5,3,2,2,2,2,"3","3","3","3","3","3","3","3","1",NA,"3","3","3"
5,5,5,5,4,5,2,5,5,5,5,5,5,3,5,5,5,5,5,4,5,5,5,5,2,4,5,5,5,5,4,4,5,2,5,2,3,5,3,4,4,1,4,4,3,1,1,5,2,4,4,4,1,1,4,3,2,7,1,1,5,0.797891022216266,-0.993541841891734,2.63765230734429,2.18772841948517,3.73213144006342,6.31563895641935,10.9108833892429,-1.63244259404686,6,1,1,5,2,4,4,1,1,1,1,7,6,6,7,7,7,7,7,4,5,5,4,2,2,2,7,5,4,5,7,3,6,5,3,2,3,3,1,2,2,"3","3","3","3","3","3","3","3","1",NA,"3","3","3"
4,4,4,4,4,4,4,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,4,4,4,4,3,4,4,4,4,4,4,4,4,3,4,3,4,3,3,4,3,3,3,3,1,1,5,3,1,5,2,1,1,2.32236797261956,4.98057862127648,4.38175703587808,-0.11005319637898,7.32308793832458,2.73765857352822,5,1,5,1,1,4,5,4,4,5,4,4,4,5,5,6,5,5,5,6,6,4,4,4,4,2,2,2,4,3,5,4,5,5,6,5,5,3,2,2,2,2,3,"3","3","3","3","3","3","3","3","1","3","3","3","1"
3,5,4,5,5,5,5,5,5,4,5,4,5,4,5,5,3,4,5,4,4,3,5,5,4,4,4,5,4,5,3,4,1,5,5,2,2,2,3,3,2,1,3,1,3,1,3,1,2,2,3,2,1,1,1,1,5,1,1,1,1,3.5953427047319,-1.03584020353528,5,0.291333736109807,4,1.73835529791282,4.82361790568903,2.60037657827789,7,1,1,1,1,4,1,5,3,5,1,7,7,5,5,6,7,1,7,3,4,5,3,3,3,4,1,2,1,6,2,6,4,7,2,6,4,1,1,1,1,"3","3","3","3","3","3","3","3","1","3","3","3","2"
3,5,4,4,3,5,4,3,4,4,4,3,4,4,5,3,5,4,4,3,4,4,4,3,3,3,4,4,3,5,3,4,1,4,4,3,4,4,3,3,4,1,5,1,5,1,3,4,3,3,3,3,1,1,3,3,1,5,1,1,4,3.33673078067683,5,5,-0.0124371323429227,7,1,7,-0.965956720131833,4,1,1,2,1,4,2,4,2,2,4,4,4,4,4,5,4,4,3,3,3,4,3,1,4,1,3,1,3,5,3,3,4,5,3,6,4,1,4,1,1,NA,NA,"3",NA,"3","3","3","3",NA,"3","3","3","2"
4,2,4,4,3,5,3,4,4,4,4,4,4,5,4,4,4,4,3,4,5,4,4,4,4,3,5,4,4,4,4,3,4,4,5,2,4,4,3,4,3,1,3,2,4,2,4,3,4,3,3,3,1,1,5,4,5,6,1,4,5,2.58198418291536,-1.42041502490438,2.24989744465093,6.52072044946099,1.51412812165607,6.45516824388907,7,7,4,1,1,4,3,4,3,5,2,3,2,5,5,5,5,4,4,4,6,4,3,3,2,4,2,2,2,3,5,5,5,4,4,5,4,4,2,2,3,2,3,"3","3","3","3","3","3","3","3","1","2","3","3","1"
5,5,5,5,5,5,5,4,4,4,4,5,4,4,5,3,4,5,4,1,5,4,5,5,3,2,4,4,5,5,5,4,5,3,5,3,4,5,4,2,2,1,4,1,4,1,3,5,5,2,2,3,2,1,6,1,6,6,1,3,1,6,7,7,7,7,7,7,1,1,1,1,6,5,5,2,5,4,2,4,5,6,7,6,6,6,3,7,4,4,2,4,1,3,2,4,5,2,6,3,2,6,2,6,3,1,3,1,3,3,"3","3","3","3","3","3","3","3","3","3","3","3","3"
